,tour,place,prize,team
476,ESL One Frankfurt 2015,5,"$14,810",Fnatic
477,ASUS ROG DreamLeague Season 3,1,"$54,875",Virtus.pro
478,ASUS ROG DreamLeague Season 3,2,"$32,437",Natus Vincere
479,ASUS ROG DreamLeague Season 3,3,"$19,937",Ninjas in Pyjamas
480,ASUS ROG DreamLeague Season 3,4,"$12,458",Alliance
481,ASUS ROG DreamLeague Season 3,5,"$9,958",Burden United
482,ASUS ROG DreamLeague Season 3,6,"$9,958",Basically Unknown
483,ASUS ROG DreamLeague Season 3,7,"$5,479",Vega Squadron
484,ASUS ROG DreamLeague Season 3,7,"$5,479",Team Empire
485,MarsTV Dota 2 League 2015 Spring,1,"$108,817",Team Secret
486,MarsTV Dota 2 League 2015 Spring,2,"$48,363",Team Empire
487,MarsTV Dota 2 League 2015 Spring,3,"$29,018",Cloud9
488,MarsTV Dota 2 League 2015 Spring,4,"$19,345",Vici Gaming
489,MarsTV Dota 2 League 2015 Spring,5,"$12,091",CDEC Gaming
490,MarsTV Dota 2 League 2015 Spring,5,"$12,091",LGD Gaming
491,MarsTV Dota 2 League 2015 Spring,5,"$12,091",EHOME
492,MarsTV Dota 2 League 2015 Spring,5,"$12,091",Invictus Gaming
493,MarsTV Dota 2 League 2015 Spring,5,"$12,091",Newbee
494,MarsTV Dota 2 League 2015 Spring,5,"$12,091",Natus Vincere
495,joinDOTA MLG Pro League Season 2,1,"$66,899",Ninjas in Pyjamas
496,joinDOTA MLG Pro League Season 2,2,"$41,812",Alliance
497,joinDOTA MLG Pro League Season 2,3,"$25,087",Fnatic
498,joinDOTA MLG Pro League Season 2,4,"$16,725",London Conspiracy
499,joinDOTA MLG Pro League Season 2,5,"$8,362",Virtus.pro
500,joinDOTA MLG Pro League Season 2,5,"$8,362",Evil Geniuses
501,joinDOTA MLG Pro League Season 2,5,"$8,362",mousesports
502,joinDOTA MLG Pro League Season 2,5,"$8,362",Summer's Rift
503,i-League Season 3,1,"$213,360",LGD Gaming
504,i-League Season 3,2,"$85,344",Vici Gaming
505,i-League Season 3,3,"$55,474",Team Malaysia
506,i-League Season 3,4,"$29,870",Newbee
507,i-League Season 3,5,"$14,935",Alliance
508,i-League Season 3,5,"$14,935",Invictus Gaming
509,i-League Season 3,7,"$6,401",Vici Gaming Potential
510,i-League Season 3,7,"$6,401",Energy Pacemaker
511,The Summit 3,1,"$115,466",Team Secret
512,The Summit 3,2,"$61,129",Evil Geniuses
513,The Summit 3,3,"$35,319",Vici Gaming
514,The Summit 3,4,"$27,169",LGD Gaming
515,The Summit 3,5,"$9,509",Cloud9
516,The Summit 3,5,"$9,509",Invictus Gaming
517,The Summit 3,7,"$6,792",Rave
518,The Summit 3,7,"$6,792",Not Today
519,Dota 2 Champions League Season 5,1,"$39,752",Team Empire
520,Dota 2 Champions League Season 5,2,"$19,876",Vici Gaming
521,Dota 2 Champions League Season 5,3,"$11,926",Burden United
522,Dota 2 Champions League Season 5,4,"$7,950",Ninjas in Pyjamas
523,StarLadder StarSeries Season 12,1,"$67,500",Vici Gaming
524,StarLadder StarSeries Season 12,2,"$30,000",Invictus Gaming
525,StarLadder StarSeries Season 12,3,"$21,000",Cloud9
526,StarLadder StarSeries Season 12,4,"$12,000",Team Tinker
527,StarLadder StarSeries Season 12,5,"$6,000",Team Malaysia
528,StarLadder StarSeries Season 12,5,"$6,000",Alliance
529,StarLadder StarSeries Season 12,7,"$3,750",Team Secret
530,StarLadder StarSeries Season 12,7,"$3,750",London Conspiracy
531,joinDOTA MLG Pro League Season 1,1,"$34,584",Team Empire
532,joinDOTA MLG Pro League Season 1,2,"$21,615",Evil Geniuses
533,joinDOTA MLG Pro League Season 1,3,"$12,969",Ninjas in Pyjamas
534,joinDOTA MLG Pro League Season 1,4,"$8,646",MVP Phoenix
535,joinDOTA MLG Pro League Season 1,5,"$4,323",Balkan Bears
536,joinDOTA MLG Pro League Season 1,5,"$4,323",Not Today
537,Dota 2 Asia Championships 2015,1,"$1,284,158",Evil Geniuses
538,Dota 2 Asia Championships 2015,2,"$366,902",Vici Gaming
539,Dota 2 Asia Championships 2015,3,"$275,177",Team Secret
540,Dota 2 Asia Championships 2015,4,"$214,026",Big God
541,Dota 2 Asia Championships 2015,5,"$152,876",Cloud9
542,Dota 2 Asia Championships 2015,5,"$152,876",Rave
543,Dota 2 Asia Championships 2015,7,"$122,301",HyperGloryTeam
544,Dota 2 Asia Championships 2015,7,"$122,301",Invictus Gaming
545,Dota 2 Asia Championships 2015,9,"$45,863",EHOME
546,Dota 2 Asia Championships 2015,9,"$45,863",Natus Vincere
547,Dota 2 Asia Championships 2015,9,"$45,863",HellRaisers
548,Dota 2 Asia Championships 2015,9,"$45,863",LGD Gaming
549,Dota 2 Asia Championships 2015,13,"$30,575",TongFu.WanZhou
550,Dota 2 Asia Championships 2015,13,"$30,575",CDEC Gaming
551,Dota 2 Asia Championships 2015,13,"$30,575",Newbee
552,Dota 2 Asia Championships 2015,13,"$30,575",MVP Phoenix
553,Dota 2 Asia Championships 2015,17,"$15,288",Wings Gaming
554,Dota 2 Asia Championships 2015,17,"$15,288",Energy Pacemaker
555,Dota 2 Asia Championships 2015,17,"$15,288",Speed Gaming.cn
556,Dota 2 Asia Championships 2015,17,"$15,288",Power Rangers
557,StarLadder StarSeries Season 11,1,"$38,934",Team Empire
558,StarLadder StarSeries Season 11,2,"$17,304",Virtus.pro Polar
559,StarLadder StarSeries Season 11,3,"$12,113",Ninjas in Pyjamas
560,StarLadder StarSeries Season 11,4,"$6,922",MVP Phoenix
561,StarLadder StarSeries Season 11,5,"$3,461",Team FIRE
562,StarLadder StarSeries Season 11,5,"$3,461",Natus Vincere
563,StarLadder StarSeries Season 11,7,"$2,163",HellRaisers
564,StarLadder StarSeries Season 11,7,"$2,163",Power Rangers
565,i-League Season 2,1,"$64,630",LGD Gaming
566,i-League Season 2,2,"$25,852",HyperGloryTeam
567,i-League Season 2,3,"$16,804",Vici Gaming
568,i-League Season 2,4,"$8,402",MVP Phoenix
569,i-League Season 2,5,"$4,201",Big God
570,i-League Season 2,5,"$4,201",Invictus Gaming
571,i-League Season 2,7,"$1,939",Ninjas in Pyjamas
572,i-League Season 2,7,"$1,939",Speed Gaming.cn
573,Dota 2 League Season 5,1,"$26,679",LV Gaming
574,Dota 2 League Season 5,2,"$16,260",Virtus.pro Polar
575,Dota 2 League Season 5,3,"$8,550",Evil Geniuses
576,Dota 2 League Season 5,4,"$3,550",CDEC Gaming
577,Dota Pit League Season 2,1,"$36,269",Team Secret
578,Dota Pit League Season 2,2,"$16,120",Virtus.pro Polar
579,Dota Pit League Season 2,3,"$8,866",Evil Geniuses
580,Dota Pit League Season 2,3,"$8,866",Virtus.pro
581,Dota Pit League Season 2,5,"$3,224",Cloud9
582,Dota Pit League Season 2,5,"$3,224",Team Tinker
583,Dota Pit League Season 2,7,"$2,015",compLexity Gaming
584,Dota Pit League Season 2,7,"$2,015",Denial eSports
585,Dota Pit League Season 2,7,"$2,015",Alliance
586,Dota Pit League Season 2,7,"$2,015",4 Anchors + SC
587,Dota Pit League Season 2,7,"$2,015",Moscow Five
588,Dota Pit League Season 2,7,"$2,015",Power Rangers
589,Dota Pit League Season 2,7,"$2,015",mYinsanity
590,Dota Pit League Season 2,7,"$2,015",Team Empire
591,Dota Pit League Season 2,7,"$2,015",HellRaisers
592,Dota Pit League Season 2,7,"$2,015",Sneaky Nyx Assassins
593,XMG Captains Draft 2.0,1,"$96,860",Team Secret
594,XMG Captains Draft 2.0,2,"$63,651",Virtus.pro
595,XMG Captains Draft 2.0,3,"$41,511",Team Tinker
596,XMG Captains Draft 2.0,4,"$27,674",Natus Vincere
597,XMG Captains Draft 2.0,5,"$17,988",Evil Geniuses
598,XMG Captains Draft 2.0,6,"$12,453",4 Anchors + SC
599,XMG Captains Draft 2.0,7,"$8,302",Power Rangers
600,XMG Captains Draft 2.0,8,"$5,535",Alliance
601,The Summit 2,1,"$139,910",Vici Gaming
602,The Summit 2,2,"$77,728",Cloud9
603,The Summit 2,3,"$46,637",Team Secret
604,The Summit 2,4,"$27,982",Evil Geniuses
605,The Summit 2,5,"$9,327",Not Today
606,The Summit 2,5,"$9,327",Team Tinker
607,ASUS ROG DreamLeague Season 2,1,"$44,668",Evil Geniuses
608,ASUS ROG DreamLeague Season 2,2,"$27,334",Cloud9
609,ASUS ROG DreamLeague Season 2,3,"$14,834",Virtus.pro
610,ASUS ROG DreamLeague Season 2,4,"$9,056",Virtus.pro Polar
611,ASUS ROG DreamLeague Season 2,5,"$5,778",Team Tinker
612,ASUS ROG DreamLeague Season 2,6,"$5,778",4 Anchors + SC
613,ASUS ROG DreamLeague Season 2,7,"$3,778",MVP Phoenix
614,ASUS ROG DreamLeague Season 2,8,"$2,778",Alliance
615,Dota 2 Champions League Season 4,1,"$38,118",Natus Vincere
616,Dota 2 Champions League Season 4,2,"$19,059",Team Tinker
617,Dota 2 Champions League Season 4,3,"$11,435",Team Empire
618,Dota 2 Champions League Season 4,4,"$7,624",Sneaky Nyx Assassins
619,National Electronic Sports Tournament 2014,1,"$32,591",LV Gaming
620,National Electronic Sports Tournament 2014,2,"$11,407",LGD Gaming
621,National Electronic Sports Tournament 2014,3,"$4,889",TongFu.WanZhou
622,National Electronic Sports Tournament 2014,3,"$4,889",Newbee
623,National Electronic Sports Tournament 2014,5,"$1,630",Wings Gaming
624,National Electronic Sports Tournament 2014,5,"$1,630",Newbee Young
625,National Electronic Sports Tournament 2014,5,"$1,630",Speed Gaming.cn
626,National Electronic Sports Tournament 2014,5,"$1,630",Vici Gaming
627,Excellent Moscow Cup Season 2,1,"$37,788",Team Empire
628,Excellent Moscow Cup Season 2,2,"$18,894",Natus Vincere
629,Excellent Moscow Cup Season 2,3,"$11,336",Virtus.pro Polar
630,Excellent Moscow Cup Season 2,4,"$7,558",HellRaisers
631,StarLadder StarSeries Season 10,1,"$105,291",Evil Geniuses
632,StarLadder StarSeries Season 10,2,"$46,796",Team Secret
633,StarLadder StarSeries Season 10,3,"$32,757",Cloud9
634,StarLadder StarSeries Season 10,4,"$18,718",Alliance
635,StarLadder StarSeries Season 10,5,"$9,359",Natus Vincere
636,StarLadder StarSeries Season 10,5,"$9,359",Team Tinker
637,StarLadder StarSeries Season 10,7,"$5,850",Execration
638,StarLadder StarSeries Season 10,7,"$5,850",Virtus.pro
639,ESL One New York 2014,1,"$56,404",Vici Gaming
640,ESL One New York 2014,2,"$28,202",Evil Geniuses
641,ESL One New York 2014,3,"$14,101",Cloud9
642,ESL One New York 2014,3,"$14,101",Team Secret
643,ESL One New York 2014,5,"$7,051",Sneaky Nyx Assassins
644,ESL One New York 2014,5,"$7,051",Alliance
645,ESL One New York 2014,5,"$7,051",Na`Vi North America
646,ESL One New York 2014,5,"$7,051",Natus Vincere
647,World Cyber Arena 2014,1,"$322,880",Newbee
648,World Cyber Arena 2014,2,"$88,792",Cloud9
649,World Cyber Arena 2014,3,"$40,360",Alliance
650,World Cyber Arena 2014,4,"$3,229",Vici Gaming
651,World Cyber Arena 2014,5,"$3,229",LGD Gaming
652,World Cyber Arena 2014,5,"$3,229",Team Malaysia
653,World Cyber Arena 2014,7,"$3,229",Natus Vincere
654,World Cyber Arena 2014,7,"$3,229",Invictus Gaming
655,i-League Season 1,1,"$155,828",Vici Gaming
656,i-League Season 1,2,"$62,331",Old Boys
657,i-League Season 1,3,"$31,166",Rave
658,i-League Season 1,3,"$31,166",Invictus Gaming
659,i-League Season 1,5,"$7,791",Virtus.pro
660,i-League Season 1,5,"$7,791",Power Rangers
661,i-League Season 1,5,"$7,791",Newbee
662,i-League Season 1,5,"$7,791",LGD.CDEC
663,World E-sport Championships 2014,1,"$97,248",Evil Geniuses
664,World E-sport Championships 2014,2,"$32,416",Cloud9
665,World E-sport Championships 2014,3,"$16,208",Vici Gaming
666,World E-sport Championships 2014,4,"$8,104",Newbee
667,World E-sport Championships 2014,5,"$3,242",Natus Vincere
668,World E-sport Championships 2014,5,"$3,242",LGD Gaming
669,World E-sport Championships 2014,7,"$3,242",HyperGloryTeam
670,World E-sport Championships 2014,7,"$3,242",LGD.CDEC
671,The International 2014,1,"$5,025,029",Newbee
672,The International 2014,2,"$1,474,737",Vici Gaming
673,The International 2014,3,"$1,037,778",Evil Geniuses
674,The International 2014,4,"$819,298",Team DK
675,The International 2014,5,"$655,439",LGD Gaming
676,The International 2014,5,"$655,439",Cloud9
677,The International 2014,7,"$518,889",Invictus Gaming
678,The International 2014,7,"$518,889",Natus Vincere
679,The International 2014,9,"$49,158",Titan
680,The International 2014,9,"$49,158",Team Liquid
681,The International 2014,11,"$38,234",mousesports
682,The International 2014,11,"$38,234",Alliance
683,The International 2014,13,"$21,848",Team Empire
684,The International 2014,13,"$21,848",Fnatic
685,The International 2014,13,"$21,848",Na`Vi North America
686,The International 2014,13,"$21,848",Arrow Gaming
687,ESL One Frankfurt 2014,1,"$84,360",Invictus Gaming
688,ESL One Frankfurt 2014,2,"$42,180",Evil Geniuses
689,ESL One Frankfurt 2014,3,"$21,090",Alliance
690,ESL One Frankfurt 2014,3,"$21,090",Fnatic
691,ESL One Frankfurt 2014,5,"$10,545",Cloud9
692,ESL One Frankfurt 2014,5,"$10,545",mousesports
693,ESL One Frankfurt 2014,5,"$10,545",Vici Gaming
694,ESL One Frankfurt 2014,5,"$10,545",Natus Vincere
695,Dota 2 Champions League Season 3,1,"$33,918",Team Empire
696,Dota 2 Champions League Season 3,2,"$16,959",Fnatic
697,Dota 2 Champions League Season 3,3,"$10,175",Alliance
698,Dota 2 Champions League Season 3,4,"$6,784",Power Rangers
699,Dota 2 Champions League Season 3,4,"$6,784",RoX.KIS
700,Dota 2 Champions League Season 3,4,"$6,784",Evil Geniuses
701,Dota 2 Champions League Season 3,4,"$6,784",Relax
702,Dota 2 Champions League Season 3,4,"$6,784",Natus Vincere
703,Dota 2 Champions League Season 3,4,"$6,784",DreamTeam168
704,Dota 2 Champions League Season 3,4,"$6,784",NEXT.kz
705,Dota 2 Champions League Season 3,4,"$6,784",Virtus.pro
706,Dota 2 Champions League Season 3,4,"$6,784",Meet Your Makers
707,HyperX D2L Western Challenge,1,"$29,629",Evil Geniuses
708,HyperX D2L Western Challenge,2,"$19,629",Natus Vincere
709,HyperX D2L Western Challenge,3,"$10,278",Fnatic
710,HyperX D2L Western Challenge,4,"$5,278",Team Empire
711,HyperX D2L Western Challenge,5,"$1,852",RoX.KIS
712,HyperX D2L Western Challenge,5,"$1,852",Cloud9
713,HyperX D2L Western Challenge,5,"$1,852",Team Liquid
714,HyperX D2L Western Challenge,5,"$1,852",Alliance
715,ASUS ROG DreamLeague Season 1,1,"$74,000",Alliance
716,ASUS ROG DreamLeague Season 1,2,"$41,000",Cloud9
717,ASUS ROG DreamLeague Season 1,3,"$31,000",Team Empire
718,ASUS ROG DreamLeague Season 1,4,"$26,000",mousesports
719,ASUS ROG DreamLeague Season 1,5,"$22,500",Fnatic
720,ASUS ROG DreamLeague Season 1,6,"$19,500",Evil Geniuses
721,ASUS ROG DreamLeague Season 1,7,"$8,000",Natus Vincere
722,ASUS ROG DreamLeague Season 1,7,"$8,000",RoX.KIS
723,ASUS ROG DreamLeague Season 1,7,"$8,000",Team Liquid
724,ASUS ROG DreamLeague Season 1,7,"$8,000",Virtus.pro
725,ASUS ROG DreamLeague Season 1,7,"$8,000",Meet Your Makers
726,ASUS ROG DreamLeague Season 1,7,"$8,000",Sigma.int
727,The Summit 1,1,"$59,558",Evil Geniuses
728,The Summit 1,2,"$33,088",Team DK
729,The Summit 1,3,"$19,853",Vici Gaming
730,The Summit 1,4,"$13,235",Natus Vincere
731,The Summit 1,5,"$3,309",Na`Vi North America
732,The Summit 1,5,"$3,309",Fnatic
733,WPC 2014,1,"$160,056",Invictus Gaming
734,WPC 2014,2,"$48,017",Team DK
735,WPC 2014,3,"$16,006",Newbee
736,WPC 2014,4,"$8,003",Alliance
737,WPC 2014,5,"$3,201",DT^Club
738,WPC 2014,5,"$3,201",Cloud9
739,WPC 2014,5,"$3,201",Titan
740,WPC 2014,5,"$3,201",Vici Gaming
741,MarsTV Dota 2 League 2014,1,"$16,031",Newbee
742,MarsTV Dota 2 League 2014,2,"$3,260",LGD Gaming
743,MarsTV Dota 2 League 2014,3,"$1,603",Vici Gaming
744,MarsTV Dota 2 League 2014,3,"$1,603",Team DK
745,MarsTV Dota 2 League 2014,5,$802,Invictus Gaming
746,MarsTV Dota 2 League 2014,5,$802,CIS Game
747,Excellent Moscow Cup Season 1,1,"$10,063",Team Empire
748,Excellent Moscow Cup Season 1,2,"$5,031",Power Rangers
749,Excellent Moscow Cup Season 1,3,"$3,019",Virtus.pro
750,Excellent Moscow Cup Season 1,4,"$2,013",Oslik Gaming
751,Excellent Moscow Cup Season 1,4,"$2,013",Meet Your Makers
752,Excellent Moscow Cup Season 1,4,"$2,013",RoX.KIS
753,Excellent Moscow Cup Season 1,4,"$2,013",Relax
754,Excellent Moscow Cup Season 1,4,"$2,013",Aware Gaming
755,Excellent Moscow Cup Season 1,4,"$2,013",NEXT.kz
756,Excellent Moscow Cup Season 1,4,"$2,013",DreamTeam168
757,StarLadder StarSeries Season 9,1,"$85,000",Team DK
758,StarLadder StarSeries Season 9,2,"$38,000",Team Empire
759,StarLadder StarSeries Season 9,3,"$26,000",Evil Geniuses
760,StarLadder StarSeries Season 9,4,"$15,000",Invictus Gaming
761,StarLadder StarSeries Season 9,5,"$7,500",Alliance
762,StarLadder StarSeries Season 9,5,"$7,500",Natus Vincere
763,StarLadder StarSeries Season 9,7,"$4,750",RoX.KIS
764,StarLadder StarSeries Season 9,7,"$4,750",MVP Phoenix
765,Dota 2 Champions League Season 2,1,"$61,500",Natus Vincere
766,Dota 2 Champions League Season 2,2,"$30,750",Cloud9
767,Dota 2 Champions League Season 2,3,"$18,750",Team Empire
768,Dota 2 Champions League Season 2,4,"$12,300",Alliance
769,Dota 2 Champions League Season 2,4,"$12,300",Fnatic
770,Dota 2 Champions League Season 2,4,"$12,300",Virtus.pro
771,Dota 2 Champions League Season 2,4,"$12,300",RoX.KIS
772,Dota 2 Champions League Season 2,4,"$12,300",Sigma.int
773,Dota 2 Champions League Season 2,4,"$12,300",Team Liquid
774,Dota 2 Champions League Season 2,4,"$12,300",Power Rangers
775,Nexon Sponsorship League Season 3,1,"$56,400",Zephyr
776,Nexon Sponsorship League Season 3,2,"$7,520",EoT Hammer
777,Nexon Sponsorship League Season 3,3,"$2,820",5 in QO
778,Nexon Sponsorship League Season 3,4,"$2,820",MVP HOT6ix
779,Nexon Sponsorship League Season 3,4,"$2,820",Don't Die ReM1kZ
780,Nexon Sponsorship League Season 3,4,"$2,820",Team Angry Bird
781,Nexon Sponsorship League Season 3,4,"$2,820",All In.uz
782,Nexon Sponsorship League Season 3,4,"$2,820",EoT Drill
783,StarLadder StarSeries Season 8,1,"$62,000",Natus Vincere
784,StarLadder StarSeries Season 8,2,"$31,000",Alliance
785,StarLadder StarSeries Season 8,3,"$18,600",Sigma.int
786,StarLadder StarSeries Season 8,4,"$12,400",Fnatic
787,StarLadder StarSeries Season 8,4,"$12,400",RoX.KIS
788,StarLadder StarSeries Season 8,4,"$12,400",NEXT.kz
789,StarLadder StarSeries Season 8,4,"$12,400",Power Rangers
790,StarLadder StarSeries Season 8,4,"$12,400",Super Strong Dinosaurs
791,StarLadder StarSeries Season 8,4,"$12,400",Team Empire
792,StarLadder StarSeries Season 8,4,"$12,400",Virtus.pro
793,StarLadder StarSeries Season 8,4,"$12,400",The Retry
794,StarLadder StarSeries Season 8,4,"$12,400",Poseidon
795,StarLadder StarSeries Season 8,4,"$12,400",Oslik Gaming
796,StarLadder StarSeries Season 8,4,"$12,400",mousesports
797,StarLadder StarSeries Season 8,4,"$12,400",Flip.Sid3.ru
798,StarLadder StarSeries Season 8,4,"$12,400",QPAD Red Pandas
799,StarLadder StarSeries Season 8,4,"$12,400",aSpera
800,StarLadder StarSeries Season 8,4,"$12,400",4 Friends + Chrillee
801,Dota 2 Champions League Season 1,1,"$25,000",Alliance
802,Dota 2 Champions League Season 1,2,"$15,000",Speed Gaming.int
803,Dota 2 Champions League Season 1,3,"$7,000",Sigma.int
804,Dota 2 Champions League Season 1,4,"$3,000",Team Liquid
805,Dota 2 Champions League Season 1,4,"$3,000",Natus Vincere
806,Dota 2 Champions League Season 1,4,"$3,000",Fnatic
807,Dota 2 Champions League Season 1,4,"$3,000",Evil Geniuses
808,Dota 2 Champions League Season 1,4,"$3,000",Virtus.pro
809,Dota 2 Champions League Season 1,4,"$3,000",mousesports
810,Dota 2 Champions League Season 1,4,"$3,000",Team Dignitas
811,G-League 2013,1,"$33,090",Team DK
812,G-League 2013,2,"$8,273",Invictus Gaming
813,G-League 2013,3,"$1,646",TongFu
814,G-League 2013,3,"$1,646",LGD Gaming
815,G-League 2013,3,"$1,646",Speed Gaming.int
816,G-League 2013,3,"$1,646",Vici Gaming
817,G-League 2013,3,"$1,646",Titan
818,G-League 2013,3,"$1,646",DT^Club
819,Dota 2 League Season 4,1,"$25,000",LGD Gaming
820,Dota 2 League Season 4,2,"$15,000",Fnatic
821,Dota 2 League Season 4,3,"$7,500",Vici Gaming
822,Dota 2 League Season 4,4,"$2,500",Alliance
823,Red Bull ECL 2013 Grand Finals,1,"$16,520",Invictus Gaming
824,Red Bull ECL 2013 Grand Finals,2,"$3,304",Team DK
825,Red Bull ECL 2013 Grand Finals,3,"$1,652",TongFu
826,Red Bull ECL 2013 Grand Finals,3,"$1,652",Titan
827,2013 WPC ACE Dota 2 League,1,"$165,280",Team DK
828,2013 WPC ACE Dota 2 League,2,"$49,584",Invictus Gaming
829,2013 WPC ACE Dota 2 League,3,"$16,528",Vici Gaming
830,2013 WPC ACE Dota 2 League,4,"$3,306",LGD Gaming
831,2013 WPC ACE Dota 2 League,5,"$3,306",TongFu
832,2013 WPC ACE Dota 2 League,5,"$3,306",LGD International
833,2013 WPC ACE Dota 2 League,7,"$3,306",RisingStars
834,2013 WPC ACE Dota 2 League,7,"$3,306",RattleSnake
835,2013 WPC ACE Dota 2 League,7,"$3,306",Heart Get Together
836,2013 WPC ACE Dota 2 League,7,"$3,306",TongFu.WanZhou
837,Nexon Sponsorship League Season 2,1,"$75,840",MVP Phoenix
838,Nexon Sponsorship League Season 2,2,"$7,584",5 in QO
839,Nexon Sponsorship League Season 2,3,"$2,844",MVP HOT6ix
840,Nexon Sponsorship League Season 2,4,"$2,844",Eyes of Tiger
841,Nexon Sponsorship League Season 2,4,"$2,844",NonStop Dominate
842,Nexon Sponsorship League Season 2,4,"$2,844",Virtual Throne
843,Nexon Sponsorship League Season 2,4,"$2,844",Full Tilt
844,Nexon Sponsorship League Season 2,4,"$2,844",For Our Utopia
845,RaidCall EMS One Fall Season,1,"$12,000",Vici Gaming
846,RaidCall EMS One Fall Season,2,"$7,000",Fnatic
847,RaidCall EMS One Fall Season,3,"$4,000",Alliance
848,RaidCall EMS One Fall Season,3,"$4,000",Natus Vincere
849,RaidCall EMS One Fall Season,5,"$2,000",Sigma.int
850,RaidCall EMS One Fall Season,5,"$2,000",StarTale
851,RaidCall EMS One Fall Season,5,"$2,000",Team aAa
852,RaidCall EMS One Fall Season,5,"$2,000",Team ONE
853,ASUS ROG DreamLeague Kick-Off Season,1,"$25,000",Natus Vincere
854,ASUS ROG DreamLeague Kick-Off Season,2,"$15,000",Fnatic
855,ASUS ROG DreamLeague Kick-Off Season,3,"$7,500",Alliance
856,ASUS ROG DreamLeague Kick-Off Season,4,"$2,500",Team Liquid
857,ASUS ROG DreamLeague Kick-Off Season,4,"$2,500",Virtus.pro
858,ASUS ROG DreamLeague Kick-Off Season,4,"$2,500",Evil Geniuses
859,MLG Championship Columbus,1,"$68,480",Speed Gaming.int
860,MLG Championship Columbus,2,"$27,392",Team DK
861,MLG Championship Columbus,3,"$13,696",Natus Vincere
862,MLG Championship Columbus,3,"$13,696",Sigma.int
863,MLG Championship Columbus,5,"$2,739",Fnatic
864,MLG Championship Columbus,5,"$2,739",Alliance
865,MLG Championship Columbus,5,"$2,739",Team Liquid
866,MLG Championship Columbus,5,"$2,739",Evil Geniuses
867,MLG Championship Columbus,5,"$2,739",Pretty Boy Swag
868,Techlabs Cup 2013 Grand Finals,1,"$12,500",Natus Vincere
869,Techlabs Cup 2013 Grand Finals,2,"$7,500",Team Empire
870,Techlabs Cup 2013 Grand Finals,3,"$3,500",Power Rangers
871,Techlabs Cup 2013 Grand Finals,4,"$1,500",Virtus.pro
872,Nexon Sponsorship League Season 1,1,"$94,100",StarTale
873,Nexon Sponsorship League Season 1,2,"$7,528",For Our Utopia
874,Nexon Sponsorship League Season 1,3,"$2,823",MVP HOT6ix
875,Nexon Sponsorship League Season 1,4,"$2,823",UnderRateds
876,Nexon Sponsorship League Season 1,5,"$1,412",Team NJ&KIDS
877,Nexon Sponsorship League Season 1,5,"$1,412",Virtual Throne
878,Nexon Sponsorship League Season 1,5,"$1,412",Season One
879,Nexon Sponsorship League Season 1,5,"$1,412",Eyes of Tiger
880,Nexon Sponsorship League Season 1,5,"$1,412",Moonlight United
881,Nexon Sponsorship League Season 1,5,"$1,412",Symphony Dota
882,Nexon Sponsorship League Season 1,5,"$1,412",Ace Online
883,Nexon Sponsorship League Season 1,5,"$1,412",Ave~
884,Nexon Sponsorship League Season 1,5,"$1,412",SushiandYasha
885,Nexon Sponsorship League Season 1,5,"$1,412",FastGG^^
886,Nexon Sponsorship League Season 1,5,"$1,412",Victory Light
887,Nexon Sponsorship League Season 1,5,"$1,412",PlaceBum
888,WePlay Dota2 League Season 2,1,"$13,000",Natus Vincere
889,WePlay Dota2 League Season 2,2,"$6,000",Alliance
890,WePlay Dota2 League Season 2,3,"$4,000",Team Liquid
891,WePlay Dota2 League Season 2,4,"$2,000",Team Empire
892,WePlay Dota2 League Season 2,4,"$2,000",Speed Gaming.int
893,WePlay Dota2 League Season 2,4,"$2,000",RoX.KIS
894,WePlay Dota2 League Season 2,4,"$2,000",Evil Geniuses
895,WePlay Dota2 League Season 2,4,"$2,000",Flipsid3 Tactics
896,WePlay Dota2 League Season 2,4,"$2,000",Cascade
897,WePlay Dota2 League Season 2,4,"$2,000",NEXT.kz
898,WePlay Dota2 League Season 2,4,"$2,000",Virtus.pro
899,WePlay Dota2 League Season 2,4,"$2,000",4 Friends + Chrillee
900,WePlay Dota2 League Season 2,4,"$2,000",Team Dignitas
901,WePlay Dota2 League Season 2,4,"$2,000",DTS2010
902,WePlay Dota2 League Season 2,4,"$2,000",Super Strong Dinosaurs
903,WePlay Dota2 League Season 2,4,"$2,000",The Retry
904,WePlay Dota2 League Season 2,4,"$2,000",Revenge eSports
905,WePlay Dota2 League Season 2,4,"$2,000",Poseidon
906,WePlay Dota2 League Season 2,4,"$2,000",Fnatic
907,WePlay Dota2 League Season 2,4,"$2,000",ScaryFaceZ
908,National Electronic Sports Tournament 2013,1,"$16,418",LGD Gaming
909,National Electronic Sports Tournament 2013,2,"$11,493",Invictus Gaming
910,National Electronic Sports Tournament 2013,3,"$8,209",TongFu
911,National Electronic Sports Tournament 2013,3,"$8,209",Vici Gaming
912,National Electronic Sports Tournament 2013,3,"$8,209",Team DK
913,National Electronic Sports Tournament 2013,3,"$8,209",GoatishSoul
914,National Electronic Sports Tournament 2013,3,"$8,209",RattleSnake
915,National Electronic Sports Tournament 2013,3,"$8,209",RisingStars
916,Electronic Sports World Cup 2013,1,"$12,500",Team Empire
917,Electronic Sports World Cup 2013,2,"$7,500",Evil Geniuses
918,Electronic Sports World Cup 2013,3,"$5,000",Sigma.int
919,Electronic Sports World Cup 2013,3,"$5,000",4 Friends + Chrillee
920,Electronic Sports World Cup 2013,3,"$5,000",Team aAa
