,tour,place,prize,team
356,World Cyber Arena 2016 Chinese Qualifiers S2,3,"$7,495",CDEC Youth
357,World Cyber Arena 2016 Chinese Qualifiers S2,4,"$1,499",TongFu
358,World Cyber Arena 2016 Chinese Qualifiers S2,5,"$1,499",LGD Gaming
359,World Cyber Arena 2016 Chinese Qualifiers S2,5,"$1,499",Vici Gaming Reborn
360,World Cyber Arena 2016 Chinese Qualifiers S2,7,"$1,499",FTD club C
361,World Cyber Arena 2016 Chinese Qualifiers S2,7,"$1,499",Vici Gaming
362,MPGL Southeast Asian Championship,1,"$30,000",Execration
363,MPGL Southeast Asian Championship,2,"$10,000",MVP Phoenix
364,MPGL Southeast Asian Championship,3,"$3,000",Mineski.GGNetwork
365,MPGL Southeast Asian Championship,4,"$1,600",Fnatic
366,MPGL Southeast Asian Championship,5,"$1,200",Power Gaming
367,MPGL Southeast Asian Championship,5,"$1,200",WarriorsGaming.Unity
368,MPGL Southeast Asian Championship,7,"$1,000",Tangerine
369,MPGL Southeast Asian Championship,7,"$1,000",Signature.Trust
370,MPGL Southeast Asian Championship,9,$500,White Fries Gaming
371,MPGL Southeast Asian Championship,9,$500,EHOME.Keen
372,World Cyber Arena 2016 EU Main Qualifier,1,"$27,140",Kaipi
373,World Cyber Arena 2016 EU Main Qualifier,2,"$13,570",Vega Squadron
374,World Cyber Arena 2016 EU Main Qualifier,3,"$6,785",Escape Gaming
375,World Cyber Arena 2016 EU Main Qualifier,4,"$1,357",Team Empire
376,World Cyber Arena 2016 EU Main Qualifier,5,"$1,357",Fantastic Five
377,World Cyber Arena 2016 EU Main Qualifier,5,"$1,357",Alliance
378,World Cyber Arena 2016 EU Main Qualifier,7,"$1,357",Ad Finem
379,World Cyber Arena 2016 EU Main Qualifier,7,"$1,357",Elements One
380,World Electronic Sports Games 2016 Middle East & Africa Finals,1,"$29,965",Aboshamalah
381,World Electronic Sports Games 2016 Middle East & Africa Finals,2,"$17,979",Dark Passage
382,World Electronic Sports Games 2016 Middle East & Africa Finals,3,"$8,989",Bravado Gaming
383,World Electronic Sports Games 2016 Middle East & Africa Finals,4,"$5,993",Slice N' Dice
384,World Electronic Sports Games 2016 Middle East & Africa Finals,5,"$2,996",White Rabbit Gaming
385,World Electronic Sports Games 2016 Middle East & Africa Finals,5,"$2,996",Psuedo Gaming
386,World Electronic Sports Games 2016 Middle East & Africa Finals,7,"$2,996",KnownFor
387,World Electronic Sports Games 2016 Middle East & Africa Finals,7,"$2,996",PUB PLAYERS
388,VPGame Pro League Season 2,1,"$22,599",iG Vitality
389,VPGame Pro League Season 2,2,"$12,053",CDEC Avenger
390,VPGame Pro League Season 2,3,"$7,533",FTD club C
391,VPGame Pro League Season 2,4,"$3,013",EHOME.Keen
392,VPGame Pro League Season 2,4,"$3,013",TongFu
393,VPGame Pro League Season 2,4,"$3,013",BraveHeart.Zombie
394,VPGame Pro League Season 2,4,"$3,013",CDEC Gaming
395,VPGame Pro League Season 2,4,"$3,013",Brave Heart
396,VPGame Pro League Season 2,4,"$3,013",Vici Gaming
397,VPGame Pro League Season 2,4,"$3,013",We Are Young
398,VPGame Pro League Season 2,4,"$3,013",Newbee Young
399,VPGame Pro League Season 2,4,"$3,013",EHOME.Luminous
400,VPGame Pro League Season 2,4,"$3,013",DUOBAO
401,VPGame Pro League Season 2,4,"$3,013",To.be.or.not.to.be
402,VPGame Pro League Season 2,4,"$3,013",Avalon Club
403,VPGame Pro League Season 2,4,"$3,013",FTD club A
404,Global Grand Masters,1,"$25,000",Team Empire
405,Global Grand Masters,2,"$12,500",Vega Squadron
406,Global Grand Masters,3,"$7,500",Alliance
407,Global Grand Masters,4,"$5,000",Power Rangers
